country,average
Uganda,104.3
Egypt,104.23927847
Mongolia,89.19869315833334
Cameroon,82.66666666666667
Ghana,81.08333287
Iraq,79.514723145
Pakistan,79.49166666666666
Bangladesh,75.04561901666668
Saudi Arabia,65.37915603
India,64.01347703268421
Kuwait,63.76419450611112
United Arab Emirates,56.746716937777784
Bahrain,56.033368795
China,53.5277968866261
Bhutan,51.77089991105264
Nepal,49.11
Myanmar,47.31725125611112
Bosnia and Herzegovina,43.02787664428571
The former Yugoslav Republic of Macedonia,42.00968981466667
Peru,41.99596421766667
Indonesia,38.932227964999996
Qatar,38
Guatemala,36.81437624
Madagascar,36.8
Iran (Islamic Republic of),36.21902389367328
Sri Lanka,35.59621054
El Salvador,35.464285714285715
Cuba,34.8
Oman,34.68680754
Turkey,33.42204441762766
Montenegro,33.318185971333335
Tunisia,33.278544075
Jordan,32.24224824
Philippines,32.193682853333335
Lebanon,30.125
South Africa,29.96206198076923
Belarus,28.870578568363637
Thailand,28.559495890689647
Senegal,28.3
Chile,26.073085996060776
Republic of Korea,25.378006007333337
Mexico,25.0076921569231
Poland,24.250526583361705
Bulgaria,24.196780624675206
Morocco,23.791715436000004
Honduras,23.689655173333335
United Republic of Tanzania,23.325
Ukraine,22
Mauritius,21.9670034112
Costa Rica,21.74203832
Serbia,21.51564242
Israel,21.455317899347826
Colombia,21.359024172173914
Georgia,20.163296516666666
Slovenia,19.727653167068958
Jamaica,19.179073825
Czechia,18.851338428960908
Croatia,18.559876234972226
Paraguay,18.4
Singapore,18
Slovakia,17.93755509114285
Greece,17.22634727693617
Ecuador,17.154903836454547
Hungary,17.114408451943657
Albania,17.010677752222218
Kenya,17
Italy,16.898529197812017
Romania,16.308581236000002
Malaysia,16.183604445
Viet Nam,16.130444397347823
Cyprus,15.58293871041667
Brazil,15.497890518845551
Latvia,15.141224572500002
Japan,14.849888888666666
Lithuania,14.347233302424996
Panama,14
Russian Federation,14
Belgium,13.452670134482759
Austria,13.369785810259433
Switzerland,13.044169425459206
Malta,12.88386070142857
Germany,12.794996527386418
France,12.772387699959562
Andorra,12.484094828
Argentina,12.44930777
Netherlands,12.445693552990692
Luxembourg,12.129673974666666
Denmark,11.701486993285714
Monaco,11.17429158
Maldives,11.1238158
United Kingdom,10.851333602225678
Ireland,9.571677598387753
Liberia,9.5
Spain,9.381493442440446
Portugal,8.897254620523812
Norway,8.490361524388057
United States of America,8.18185925674097
Fiji,8.1
Iceland,8.021258679499999
Uruguay,8
New Zealand,7.960926435
Australia,7.550036591825759
Canada,6.93720917076543
Sweden,6.6575382659223274
Estonia,6.274100267857143
Finland,6.163995935453777